name,gender
AAMIR,M
AARON,M
ABBEY,M
ABBIE,M
ABBOT,M
ABBOTT,M
ABBY,M
ABDEL,M
ABDUL,M
ABDULKARIM,M
ABDULLAH,M
ABE,M
ABEL,M
ABELARD,M
ABNER,M
ABRAHAM,M
ABRAM,M
ACE,M
ADAIR,M
ADAM,M
ADAMS,M
ADDIE,M
ADGER,M
ADITYA,M
ADLAI,M
ADNAN,M
ADOLF,M
ADOLFO,M
ADOLPH,M
ADOLPHE,M
ADOLPHO,M
ADOLPHUS,M
ADRIAN,M
ADRICK,M
ADRIEN,M
AGAMEMNON,M
AGUINALDO,M
AGUSTE,M
AGUSTIN,M
AHARON,M
AHMAD,M
AHMED,M
AHMET,M
AJAI,M
AJAY,M
AL,M
ALAA,M
ALAIN,M
ALAN,M
ALASDAIR,M
ALASTAIR,M
ALBATROS,M
ALBERT,M
ALBERTO,M
ALBRECHT,M
ALDEN,M
ALDIS,M
ALDO,M
ALDRIC,M
ALDRICH,M
ALDUS,M
ALDWIN,M
ALEC,M
ALECK,M
ALEJANDRO,M
ALEKS,M
ALEKSANDRS,M
ALESSANDRO,M
ALEX,M
ALEXANDER,M
ALEXEI,M
ALEXIS,M
ALF,M
ALFIE,M
ALFONSE,M
ALFONSO,M
ALFONZO,M
ALFORD,M
ALFRED,M
ALFREDO,M
ALGERNON,M
ALI,M
ALIC,M
ALISTER,M
ALIX,M
ALLAH,M
ALLAN,M
ALLEN,M
ALLEY,M
ALLIE,M
ALLIN,M
ALLYN,M
ALONSO,M
ALONZO,M
ALOYSIUS,M
ALPHONSE,M
ALPHONSO,M
ALSTON,M
ALTON,M
ALVIN,M
ALWIN,M
AMADEUS,M
AMBROS,M
AMBROSE,M
AMBROSI,M
AMBROSIO,M
AMBROSIUS,M
AMERY,M
AMORY,M
AMOS,M
ANATOL,M
ANATOLE,M
ANATOLLO,M
ANATOLY,M
ANDERS,M
ANDIE,M
ANDONIS,M
ANDRE,M
ANDREA,M
ANDREAS,M
ANDREJ,M
ANDRES,M
ANDREW,M
ANDREY,M
ANDRI,M
ANDROS,M
ANDRUS,M
ANDRZEJ,M
ANDY,M
ANGEL,M
ANGELICO,M
ANGELO,M
ANGIE,M
ANGUS,M
ANSEL,M
ANSELL,M
ANSELM,M
ANSON,M
ANTHONY,M
ANTIN,M
ANTOINE,M
ANTON,M
ANTONE,M
ANTONI,M
ANTONIN,M
ANTONINO,M
ANTONIO,M
ANTONIUS,M
ANTONY,M
ANURAG,M
APOLLO,M
APOSTOLOS,M
ARAM,M
ARCHIBALD,M
ARCHIBOLD,M
ARCHIE,M
ARCHON,M
ARCHY,M
AREL,M
ARI,M
ARIE,M
ARIEL,M
ARISTOTLE,M
ARLO,M
ARMAND,M
ARMANDO,M
ARMOND,M
ARMSTRONG,M
ARNE,M
ARNIE,M
ARNOLD,M
ARNOLDO,M
ARON,M
ARRON,M
ART,M
ARTHER,M
ARTHUR,M
